#OTU ID,AC-GL4-102C,AC-GL4-50C,AC-GL4-54C,AC-GL4-60C,AC-GL4-61C,AC-GL4-69C,AC-GL4-70C,AC-GL4-71C,AC-GL4-73C,blank
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__PeM15;Ambiguous_taxa;Ambiguous_taxa;Ambiguous_taxa,0,0,0,0,0,0,0,0,0,
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__PeM15;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium,9,0,0,0,0,0,0,3,0,
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__PeM15;__;__;__,0,0,0,0,0,0,0,0,0,
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Gaiellales;D_4__uncultured;D_5__metagenome;D_6__metagenome,8,0,0,0,0,5,0,0,7,
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales;D_4__Solirubrobacteraceae;D_5__Conexibacter;D_6__uncultured bacterium,0,0,0,0,3,9,0,0,0,
D_0__Bacteria;D_1__Actinobacteria;D_2__WCHB1-81;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium,0,12,0,0,17,0,4,0,2,
D_0__Bacteria;D_1__Aegiribacteria;D_2__uncultured bacterium;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium,0,5,0,0,17,0,0,0,0,
D_0__Bacteria;D_1__Armatimonadetes;D_2__Armatimonadia;D_3__Armatimonadales;D_4__Armatimonadaceae;D_5__Armatimonas;D_6__uncultured bacterium,2,0,0,0,0,15,0,23,187,
D_0__Bacteria;D_1__Armatimonadetes;D_2__Fimbriimonadia;D_3__Fimbriimonadales;D_4__Fimbriimonadaceae;D_5__uncultured bacterium;D_6__uncultured bacterium,66,0,0,0,0,0,0,6,25,
D_0__Bacteria;D_1__Armatimonadetes;D_2__uncultured;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium,0,0,0,0,0,0,0,0,0,
D_0__Bacteria;D_1__Armatimonadetes;D_2__uncultured;__;__;__;__,0,0,0,0,6,0,0,0,0,
D_0__Bacteria;D_1__Atribacteria;D_2__JS1;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium,0,0,0,0,9,0,5,0,6,
D_0__Bacteria;D_1__BRC1;D_2__uncultured organism;D_3__uncultured organism;D_4__uncultured organism;D_5__uncultured organism;D_6__uncultured organism,0,0,0,0,0,0,0,0,0,
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides;Ambiguous_taxa,0,0,0,0,0,0,0,0,0,
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides;__,0,0,0,0,0,0,0,0,0,
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidetes BD2-2;D_5__Bacteroidetes bacterium GWF2_49_14;D_6__Bacteroidetes bacterium GWF2_49_14,0,0,0,0,0,0,0,0,0,
